;Gasto total (millones de euros);Gasto por persona y día (euros)
   Resto del mundo;406,86;222,77
2018M07;;
   TOTAL;3.103,86;163,98
   ESPAÑA (Otras CCAA);262,43;96,04
   EXTRANJERO;2.841,43;175,44
   (110) Francia;138,56;142,28
   (115) Italia;180,75;157,14
   (125) Reino Unido;755,6;171,26
   (126) Alemania;655,33;156,1
   (132) Suiza;114,34;170,35
   Bélgica, Luxemburgo y Países Bajos;197,88;177,7
   Países nórdicos;306,04;168,08
   Resto del mundo;492,93;265,54
2018M06;;
   TOTAL;2.324,51;149,97
   ESPAÑA (Otras CCAA);186,88;111
   EXTRANJERO;2.137,62;154,72
   (110) Francia;86,63;162,47
   (115) Italia;94,02;139,75
   (125) Reino Unido;606,05;139,71
   (126) Alemania;624,9;154,39
   (132) Suiza;91,17;164,68
   Bélgica, Luxemburgo y Países Bajos;164,87;180,1
   Países nórdicos;161,05;154,01
   Resto del mundo;308,95;180,65
2018M05;;
   TOTAL;1.750,25;154,81
   ESPAÑA (Otras CCAA);104,55;111,23
   EXTRANJERO;1.645,70;158,76
   (110) Francia;83,62;143,39
   (115) Italia;36,73;153,42
   (125) Reino Unido;414,05;145,64
   (126) Alemania;578,02;154,41
   (132) Suiza;57,94;151,88
   Bélgica, Luxemburgo y Países Bajos;150,04;164,44
   Países nórdicos;148,44;170,48
   Resto del mundo;176,87;223,28
2018M04;;
   TOTAL;945,21;140,63
   ESPAÑA (Otras CCAA);102,09;86,63
   EXTRANJERO;843,11;152,11
   (110) Francia;44,65;135,83
   (115) Italia;20;134,47
   (125) Reino Unido;165,01;146,1
   (126) Alemania;363,07;141,14
   (132) Suiza;37,12;147,67
   Bélgica, Luxemburgo y Países Bajos;56,92;173,78
   Países nórdicos;85,75;166,37
   Resto del mundo;70,6;262,37
2018M03;;
   TOTAL;472,54;130,92
   ESPAÑA (Otras CCAA);74,53;88,58
   EXTRANJERO;398,01;143,8
   (110) Francia;...;...
   (115) Italia;...;...
   (125) Reino Unido;50,43;151,69
   (126) Alemania;219,53;131,79
   (132) Suiza;13,35;155,97
   Bélgica, Luxemburgo y Países Bajos;12,47;153,02
   Países nórdicos;29,31;186,6
   Resto del mundo;58,04;183,63
2018M02;;
   TOTAL;202,67;116,67
   ESPAÑA (Otras CCAA);48,57;95,15
   EXTRANJERO;154,1;125,62
   (110) Francia;11,73;110,31
   (115) Italia;...;...
   (125) Reino Unido;14,8;128,04
   (126) Alemania;77,56;115,78
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;11,58;131,07
   Países nórdicos;...;...
   Resto del mundo;22,44;255,76
2018M01;;
   TOTAL;156,76;97,32
   ESPAÑA (Otras CCAA);43,68;71,39
   EXTRANJERO;113,08;113,2
   (110) Francia;3,84;142,45
   (115) Italia;6,92;101,96
   (125) Reino Unido;16,7;101,43
   (126) Alemania;51,89;107,28
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;6,8;121,56
   Países nórdicos;8,6;138,68
   Resto del mundo;12,2;177,38
